date,high,low,open,close,volume,quoteVolume,weightedAverage
1676822400000,25178.74,24300.00,24926.30,24518.17,39.085173,963236.38,24646.82
1676836800000,24567.00,24183.67,24525.76,24285.77,30.647015,748775.97,24432.5
1676851200000,24471.94,23848.17,24269.33,24415.11,33.626114,814965.7,24236.96
1676865600000,24542.67,24408.01,24425.99,24506.45,18.144303,444106.14,24476.37
1676880000000,24965.88,24389.00,24506.43,24887.24,32.920033,815057.2,24759.89
1676894400000,25100.00,24724.81,24886.97,24936.64,31.164929,776965.57,24931.03
1676908800000,24940.77,24644.56,24940.50,24866.00,22.982248,570481.87,24822.79
1676923200000,24879.83,24659.81,24865.04,24829.92,16.5665,410448.66,24775.89
1676937600000,25083.98,24785.32,24832.08,24926.51,19.348043,482012.4,24912.91
1676952000000,25048.00,24855.58,24925.71,24996.60,15.243888,380298.82,24947.69
1676966400000,25259.43,24563.66,24999.84,24575.73,39.208624,973800.06,24837.81
1676980800000,24768.55,24425.00,24575.73,24557.23,43.164826,1062023.32,24604.06
1676995200000,24737.04,24300.00,24555.51,24602.45,25.284192,619794.95,24513.75
1677009600000,24637.24,24157.90,24604.42,24450.59,26.881757,655150.53,24372.06
1677024000000,24470.34,23880.00,24458.35,24200.50,27.282791,660916.84,24225.69
1677038400000,24217.92,23931.61,24203.05,24065.49,20.83762,501558.32,24070.01
1677052800000,24204.74,23867.94,24062.50,24166.14,20.212495,486961.01,24092.32
1677067200000,24217.64,23648.79,24157.35,23717.88,31.550396,754796.94,23924.63
1677081600000,23950.00,23591.67,23706.65,23792.86,31.177812,740310.53,23744.98
1677096000000,24214.18,23730.49,23788.91,24186.00,14.822565,354315.38,23904.59
1677110400000,24729.74,24128.64,24186.01,24455.99,18.834336,459745.62,24411.69
1677124800000,24514.72,24319.28,24456.05,24379.10,26.422876,645014.73,24411.26
1677139200000,24474.10,23670.16,24379.07,23783.02,40.954021,992069.36,24226.66
1677153600000,24205.60,23619.15,23779.08,23955.94,32.610035,780647.63,23939.67
1677168000000,24041.78,23735.60,23938.45,23972.37,28.552743,681785.82,23878.3
1677182400000,24062.61,23759.54,23979.09,23937.95,18.466996,441684.69,23917.73
1677196800000,24126.68,23891.71,23942.81,23951.38,11.972125,287095.64,23980.41
1677211200000,23986.82,23778.64,23951.35,23835.88,17.518919,418485.19,23887.74
1677225600000,23979.40,23767.54,23833.25,23882.78,21.876136,522005.54,23861.93
1677240000000,24014.25,23350.00,23882.73,23351.01,35.568235,841606.44,23663.51
1677254400000,23358.05,22872.01,23351.00,23177.44,86.965755,2005906.6,23065.71
1677268800000,23323.00,22974.72,23175.29,23183.52,28.351498,656979.38,23172.91
1677283200000,23212.21,23053.58,23171.37,23073.06,15.506409,358782.59,23137.76
1677297600000,23125.10,23024.80,23080.88,23119.29,15.726397,363020.53,23083.53
1677312000000,23156.74,22918.01,23119.48,22981.40,20.947931,482458.41,23031.48
1677326400000,23074.35,22875.92,22981.36,23002.24,17.645825,405780.42,22995.88
1677340800000,23080.00,22914.72,23005.54,22976.85,16.651872,383159.08,23010.01
